date,memory_total,memory_free,cpu_user,cpu_sys,cpu_wait,cpu_idle,network_recv
201601,264538544,2868032,57.4,38.8,3.8,30786,32524
201602,264538544,2872772,63.1,35,1.9,8939,72350
201603,264538544,2874848,62.8,35.7,1.5,34412,198891
201604,264538544,2959696,58.7,39.4,1.9,13756,102127
201605,264538544,2960564,59.5,36.7,3.8,54719,1725869
201606,264538544,2966108,57.8,38.7,3.5,11690,44105
201607,264538544,2962404,56.8,40,3.2,8772,25948
201608,264538544,2962404,59.4,38.6,2,19306,160291
201609,264538544,3004344,57,40.7,2.3,40712,960818
201610,264538544,3006844,57.5,39.8,2.7,16662,734906
201611,264538544,3006520,56.8,41.6,1.6,5740,5210
201612,264538544,3006612,57.9,40.9,1.2,9974,43242
201701,264538544,3005640,58.3,40,1.7,60452,58154
201702,264538544,3005268,59.2,38.8,2,3141,1201
201703,264538544,3005556,58.1,40.4,1.5,16391,51158
201704,264538544,3007384,59.3,39.8,0.9,5910,5392
201705,264538544,3007556,58.5,38.5,3,4074,1003
201706,264538544,3006796,57.3,38.7,4,4942,5885
201707,264538544,3006936,59,39.6,1.4,8158,42018
